Temperature (K)	Magnetic Field (Oe)	Moment (emu)	M. Std. Err. (emu)
10.0031538	2000.001038	0.0001602	1.78E-07
10.00233889	1998.122437	0.000160639	3.90E-07
10.00248909	1992.451599	0.000160246	2.18E-07
10.00265551	1984.272339	0.000160012	2.45E-07
10.00257921	1976.531189	0.000160207	2.01E-07
10.00219488	1968.366699	0.000159987	2.45E-07
10.00205803	1960.159546	0.000159906	2.25E-07
10.0020752	1952.51886	0.000159928	2.44E-07
10.00201607	1944.286438	0.000159689	2.34E-07
10.00205612	1936.49707	0.000159588	2.42E-07
10.00204277	1928.50177	0.000159734	2.03E-07
10.00167847	1920.319519	0.000159465	2.67E-07
10.00133801	1912.286316	0.000159564	2.30E-07
10.00116301	1904.253174	0.000159405	2.61E-07
10.00144196	1896.482849	0.000159622	2.30E-07
10.00223589	1888.6875	0.000159443	2.22E-07
10.00261641	1880.464294	0.000159356	2.50E-07
10.00223494	1872.55481	0.000159088	2.82E-07
10.00188351	1864.59082	0.000159343	2.56E-07
10.00185061	1856.619202	0.000159225	2.02E-07
10.00170994	1848.630371	0.000158897	2.20E-07
10.0012188	1840.665405	0.00015932	2.33E-07
10.00113058	1832.604614	0.000158855	2.38E-07
10.00146437	1824.577576	0.000158702	2.39E-07
10.00153303	1816.562561	0.000158834	2.33E-07
10.00130463	1808.663635	0.000158669	2.22E-07
10.00115156	1800.805969	0.000158907	2.43E-07
10.0011425	1792.48584	0.000158567	2.26E-07
10.00085068	1784.516846	0.000158574	2.36E-07
10.00051308	1776.68335	0.000158596	2.10E-07
10.00076389	1768.556702	0.000158343	2.22E-07
10.00113344	1760.845947	0.000158316	4.41E-07
10.0010972	1752.89093	0.000158196	2.35E-07
10.00097275	1745.022827	0.000158487	2.26E-07
10.00101233	1737.045166	0.000158144	2.22E-07
10.00101662	1729.108093	0.000157986	2.27E-07
10.00071383	1721.173523	0.000158152	2.55E-07
10.00057316	1713.201721	0.000158214	2.96E-07
10.00055361	1704.865234	0.00015777	2.56E-07
10.00070953	1697.140869	0.000157629	2.15E-07
10.0010128	1689.071045	0.000157824	2.40E-07
10.001019	1681.088928	0.000157862	2.11E-07
10.00092125	1673.059631	0.000157545	2.34E-07
10.00102472	1665.019592	0.000157665	2.29E-07
10.00090265	1657.054016	0.00015764	2.15E-07
10.00076151	1648.909668	0.000157457	2.61E-07
10.00078535	1640.958557	0.000157342	2.66E-07
10.00052357	1632.926086	0.000157099	2.41E-07
9.999959946	1625.118591	0.000157012	2.13E-07
9.999702454	1617.117493	0.000157169	2.10E-07
9.999914169	1609.142456	0.00015718	2.43E-07
10.00045347	1601.164673	0.000156881	2.15E-07
10.00078297	1593.178162	0.00015662	2.41E-07
10.00078917	1585.175293	0.000156884	2.52E-07
10.00102043	1577.135254	0.000156739	2.45E-07
10.00121403	1569.117737	0.000156778	2.27E-07
10.00102425	1561.098511	0.000156506	2.21E-07
10.00077009	1553.06366	0.000156396	2.33E-07
10.00066757	1545.091064	0.000156315	2.65E-07
10.00051403	1537.113281	0.00015618	2.52E-07
10.00024605	1529.143311	0.000156085	2.30E-07
9.999960899	1520.872437	0.0001562	2.18E-07
10.00001335	1513.280273	0.000155976	2.35E-07
10.00028944	1505.129639	0.000155956	1.83E-07
10.00024366	1497.125488	0.000155833	2.06E-07
10.00005341	1489.117493	0.000155786	2.27E-07
9.999819279	1481.154907	0.000155787	2.16E-07
9.999894619	1473.161011	0.000155696	2.39E-07
10.00029373	1465.39856	0.000155545	2.48E-07
10.00054932	1457.330017	0.000155523	2.90E-07
10.0006032	1449.180725	0.000155398	2.47E-07
10.00013161	1441.215027	0.00015543	2.34E-07
9.999664783	1433.3349	0.000155069	2.52E-07
9.999956131	1425.358887	0.000155148	2.50E-07
10.00042582	1417.241943	0.000154943	2.30E-07
10.00036144	1409.174194	0.000155055	2.54E-07
10.00001478	1401.132385	0.000155052	2.33E-07
10.00003195	1393.336792	0.000154926	2.52E-07
10.00036192	1385.182312	0.000154836	2.00E-07
10.0004797	1377.424866	0.000154781	2.55E-07
10.00034475	1369.453186	0.000154598	2.07E-07
10.00014591	1361.374146	0.000154347	2.14E-07
10.00032187	1353.15863	0.000154148	2.43E-07
10.00042772	1345.227661	0.000154072	2.33E-07
10.00019836	1337.458313	0.000154494	2.18E-07
10.00013113	1329.149231	0.000154048	2.39E-07
10.00012922	1321.152466	0.000153974	2.57E-07
10.00001717	1313.432434	0.000153872	2.47E-07
9.999686718	1305.421814	0.000154002	2.21E-07
9.999350071	1297.402405	0.000153695	2.50E-07
9.999573231	1289.393616	0.000153872	2.23E-07
10.00008583	1281.384399	0.000153757	2.20E-07
10.00046539	1273.342957	0.000153482	2.34E-07
10.00041199	1265.378601	0.000153349	2.52E-07
10.00040722	1257.43158	0.00015332	2.40E-07
10.00056601	1249.391479	0.000153251	2.30E-07
10.00037813	1241.332397	0.000153042	2.06E-07
10.00012636	1233.499817	0.000153306	2.23E-07
10.0000782	1225.369141	0.000153076	2.31E-07
10.00012016	1217.599792	0.000152939	2.35E-07
10.00006056	1209.680786	0.000152487	2.84E-07
10.00006199	1201.551697	0.000152696	2.27E-07
10.00028133	1193.477478	0.000152504	2.42E-07
10.00031424	1185.661377	0.000152513	2.26E-07
9.99998188	1177.485291	0.00015215	2.70E-07
9.999612331	1169.468567	0.00015213	2.26E-07
9.999557972	1161.632813	0.000152189	2.36E-07
9.999790192	1153.440674	0.000151887	2.20E-07
9.999902248	1145.409302	0.000152041	2.48E-07
9.999778748	1137.613953	0.000151777	2.37E-07
9.999844551	1129.473389	0.000151647	2.22E-07
10.00003958	1121.657349	0.000151593	2.37E-07
10.00007629	1113.648438	0.000151336	2.50E-07
9.999854565	1105.65686	0.000151406	2.57E-07
9.999547958	1097.637573	0.000151117	2.70E-07
9.999752045	1089.613892	0.000151156	1.94E-07
10.00004148	1081.659485	0.00015125	2.06E-07
9.999938965	1073.687744	0.000151003	2.52E-07
9.999787331	1065.665894	0.000150697	2.52E-07
9.999845028	1057.6427	0.000150738	2.24E-07
9.999893188	1049.580139	0.00015066	2.14E-07
9.99983263	1041.621094	0.000150463	2.35E-07
10.00009584	1033.447937	0.000150357	2.31E-07
10.00020933	1025.421753	0.000150315	1.87E-07
9.999709129	1017.370453	0.000150281	2.23E-07
9.999428749	1009.726105	0.000149982	2.35E-07
9.999699116	1001.601746	0.00014983	2.15E-07
9.99996233	993.7890625	0.000149941	2.46E-07
9.999931812	985.6895447	0.000149673	2.77E-07
9.999686241	977.691803	0.000149748	2.33E-07
