Field	R(0mV)	time(s)
0.0000000E+0	9.8101843E+2	2.1282603E+6
-5.0000000E+1	9.6619907E+2	2.1282607E+6
-1.0000000E+2	9.6433994E+2	2.1282611E+6
-1.5000000E+2	9.6891625E+2	2.1282614E+6
-2.0000000E+2	9.6278471E+2	2.1282618E+6
-2.5000000E+2	9.5386468E+2	2.1282623E+6
-3.0000000E+2	9.5343575E+2	2.1282626E+6
-3.5000000E+2	9.5023591E+2	2.1282630E+6
-4.0000000E+2	9.5434744E+2	2.1282634E+6
-3.5000000E+2	9.4975325E+2	2.1282638E+6
-3.0000000E+2	9.5599204E+2	2.1282642E+6
-2.5000000E+2	9.5717247E+2	2.1282645E+6
-2.0000000E+2	9.5586751E+2	2.1282649E+6
-1.5000000E+2	9.5824505E+2	2.1282653E+6
-1.0000000E+2	9.6666474E+2	2.1282657E+6
-5.0000000E+1	9.6961432E+2	2.1282660E+6
0.0000000E+0	9.7506656E+2	2.1282664E+6
2.0000000E+1	9.8182389E+2	2.1282668E+6
4.0000000E+1	9.8500585E+2	2.1282672E+6
6.0000000E+1	9.9551707E+2	2.1282675E+6
8.0000000E+1	1.0367932E+3	2.1282679E+6
1.0000000E+2	1.1436394E+3	2.1282683E+6
1.2000000E+2	1.1903856E+3	2.1282687E+6
1.4000000E+2	1.1978940E+3	2.1282690E+6
1.6000000E+2	1.1977867E+3	2.1282694E+6
1.8000000E+2	1.1909937E+3	2.1282698E+6
2.0000000E+2	1.1838254E+3	2.1282702E+6
2.2000000E+2	1.1715981E+3	2.1282706E+6
2.4000000E+2	1.1473047E+3	2.1282710E+6
2.6000000E+2	1.0367403E+3	2.1282713E+6
2.8000000E+2	9.6847096E+2	2.1282717E+6
3.0000000E+2	9.5711956E+2	2.1282721E+6
3.2000000E+2	9.6421642E+2	2.1282725E+6
3.4000000E+2	9.5922896E+2	2.1282728E+6
3.6000000E+2	9.5719095E+2	2.1282732E+6
3.8000000E+2	9.5717307E+2	2.1282736E+6
4.0000000E+2	9.5928247E+2	2.1282740E+6
4.2000000E+2	9.6008690E+2	2.1282744E+6
4.4000000E+2	9.6026566E+2	2.1282748E+6
4.2000000E+2	9.5710157E+2	2.1282751E+6
4.0000000E+2	9.5611879E+2	2.1282755E+6
3.8000000E+2	9.5615455E+2	2.1282759E+6
3.6000000E+2	9.5922926E+2	2.1282763E+6
3.4000000E+2	9.5663720E+2	2.1282766E+6
3.2000000E+2	9.5955103E+2	2.1282770E+6
3.0000000E+2	9.5853143E+2	2.1282774E+6
2.8000000E+2	9.5999728E+2	2.1282778E+6
2.6000000E+2	9.6539589E+2	2.1282782E+6
2.4000000E+2	9.6201729E+2	2.1282785E+6
2.2000000E+2	9.6056932E+2	2.1282789E+6
2.0000000E+2	9.6280384E+2	2.1282793E+6
1.8000000E+2	9.6821967E+2	2.1282797E+6
1.6000000E+2	9.6321434E+2	2.1282801E+6
1.4000000E+2	9.6972127E+2	2.1282804E+6
1.2000000E+2	9.6920286E+2	2.1282808E+6
1.0000000E+2	9.7540591E+2	2.1282812E+6
8.0000000E+1	9.7758680E+2	2.1282816E+6
6.0000000E+1	9.8021449E+2	2.1282819E+6
4.0000000E+1	9.8589912E+2	2.1282823E+6
2.0000000E+1	9.9119048E+2	2.1282827E+6
0.0000000E+0	1.0447476E+3	2.1282831E+6
-2.0000000E+1	1.1530237E+3	2.1282835E+6
-4.0000000E+1	1.1901703E+3	2.1282839E+6
-6.0000000E+1	1.2014676E+3	2.1282842E+6
-8.0000000E+1	1.1990007E+3	2.1282846E+6
-1.0000000E+2	1.1929049E+3	2.1282850E+6
-1.2000000E+2	1.1812675E+3	2.1282854E+6
-1.4000000E+2	1.1628729E+3	2.1282858E+6
-1.6000000E+2	1.1419399E+3	2.1282862E+6
-1.8000000E+2	1.0077612E+3	2.1282865E+6
-2.0000000E+2	9.6589517E+2	2.1282869E+6
-2.2000000E+2	9.6644933E+2	2.1282873E+6
-2.4000000E+2	9.5935248E+2	2.1282877E+6
-2.6000000E+2	9.6008541E+2	2.1282880E+6
-2.8000000E+2	9.5894073E+2	2.1282884E+6
-3.0000000E+2	9.5162937E+2	2.1282888E+6
-3.2000000E+2	9.6065685E+2	2.1282892E+6
-3.4000000E+2	9.5658108E+2	2.1282895E+6
-3.6000000E+2	9.6155066E+2	2.1282899E+6
-3.8000000E+2	9.5282708E+2	2.1282903E+6
-3.5000000E+2	9.5901230E+2	2.1282907E+6
-3.0000000E+2	9.4808995E+2	2.1282910E+6
-2.5000000E+2	9.5822575E+2	2.1282914E+6
-2.0000000E+2	9.5434662E+2	2.1282918E+6
-1.5000000E+2	9.6925536E+2	2.1282922E+6
-1.0000000E+2	9.7206195E+2	2.1282926E+6
-5.0000000E+1	9.7027433E+2	2.1282929E+6
0.0000000E+0	9.7787171E+2	2.1282933E+6
  1.000E-7 A
0mV
400.txt
since 08/09/2011 title of individual RH file has row# in front of col# 
