Field (T)	Resistance (Ohms)
0.3146844	2468071
0.3509942	2468283
2.645924	2455539
5.306849	2464720
7.907303	2446789
10.5286	2458373
12.88358	2451917
15.60509	2456429
18.18129	2447200
20.71436	2436714
23.20406	2452134
25.83749	2439481
28.38953	2430083
30.90176	2440128
33.55079	2445978
35.95053	2429770
38.54929	2426581
41.21218	2442112
43.65514	2420139
46.13282	2418390
48.81812	2414328
51.27496	2420686
53.89107	2415424
56.42065	2415724
59.01939	2405032
61.5074	2419579
64.09586	2411985
66.61671	2396000
69.22591	2407545
71.73816	2409489
74.30061	2397522
76.8544	2408378
79.43413	2404612
81.9585	2400157
84.50878	2402143
87.13707	2394858
89.59904	2391796
92.2429	2394689
94.69279	2391526
97.2293	2392387
99.6742	2386831
102.2314	2392999
104.8007	2400374
107.3701	2391686
109.9914	2390954
112.5262	2396166
115.0426	2395573
117.6194	2407363
120.1668	2391416
122.6322	2395897
125.2467	2391318
127.8922	2373806
130.3508	2403333
133.0656	2398468
135.4271	2381603
137.9654	2393753
140.4915	2392090
143.0609	2381188
145.5195	2379684
148.2342	2384244
150.6789	2396847
153.3764	2377302
155.8381	2377613
158.3801	2378493
161.0862	2394725
163.4672	2399414
166.199	2387165
168.5641	2380463
171.0885	2387725
173.502	2395491
176.1441	2380464
178.6892	2378656
181.4283	2390853
183.9855	2391467
186.3679	2375072
189.0013	2395867
191.6572	2369734
194.1107	2386963
196.8081	2366839
199.1349	2388820
201.6924	2384084
204.3137	2370555
207.0146	2386460
209.4836	2366680
211.9942	2397293
214.3887	2372892
216.9217	2388427
219.6434	2371176
222.0637	2387049
224.9828	2377581
227.116	2379214
229.8445	2375377
232.5802	2365423
235.0077	2388219
237.397	2378271
239.7465	2368723
242.468	2376463
244.9753	2381113
247.4588	2394508
250.1331	2382865
252.6955	2366550
255.2462	2363537
257.8481	2369695
260.3188	2385766
262.9072	2387289
265.6201	2362179
267.8435	2364259
270.4719	2376321
273.3023	2369796
275.6572	2360974
278.5934	2364840
280.8511	2373220
283.4724	2374965
285.9864	2368798
288.6128	2380670
291.2824	2380869
293.7964	2377132
296.1863	2367999
298.828	2378476
301.5478	2383610
303.8888	2360128
306.5654	2388843
309.0293	2367472
311.5605	2390181
314.0537	2386238
316.5764	2372126
319.1665	2375496
321.6945	2381172
324.2275	2389652
326.6982	2386081
329.2174	2384265
332.1588	2367465
334.4011	2373147
336.9238	2389245
339.6765	2370208
342.1272	2370307
344.8082	2391095
347.141	2368544
350.3197	2380016
352.7081	2385831
355.2723	2373086
357.8243	2376643
360.5476	2373206
363.0564	2372387
365.4476	2373367
368.1761	2383491
370.7489	2371441
373.4204	2376035
375.7613	2364292
378.1491	2382316
380.7462	2366468
383.2322	2381766
385.8641	2372076
388.6566	2360506
391.2381	2375668
393.5774	2378822
395.92	2362872
398.7195	2370956
401.1332	2389246
403.8219	2362102
406.4466	2376779
409.0349	2359955
411.5265	2382293
413.8484	2355841
416.4714	2363857
419.0287	2382251
421.7035	2384398
424.0895	2375514
426.804	2371088
429.3787	2366162
431.8012	2360325
434.4292	2358528
436.9553	2359538
439.6077	2364376
442.1512	2364770
444.7604	2361287
447.3799	2356956
449.8315	2358437
452.1951	2364603
454.7195	2378527
457.5068	2387099
459.9861	2380868
462.5312	2375880
465.0576	2356359
467.4521	2368244
470.1612	2368654
472.8638	2363058
475.3727	2370414
478.0217	2376779
480.591	2367405
483.2349	2362763
485.7281	2372265
