Row number	MR	RA	Temp (C)
14	14.11	44.1703	350
16	14.14	44.347	350
16	13.84	44.7004	350
16	13.78	44.5237	350
19	12.77	42.0501	350
25	14.39	41.6968	350
28	13.44	42.7569	350
37	12.75	48.234	350
38	12.88	50.0008	350
52	14.57	51.0609	350
54	15.34	51.9443	350
59	14.31	53.5344	350
67	15.27	49.8241	350
82	14.97	56.8914	350
90	15.34	50.5308	350
94	14.64	50.5308	350
99	14.28	59.5416	350
110	14.43	46.4672	350
126	13.35	55.8313	350
132	13.88	58.6582	350
142	13.78	52.4743	350
153	13.85	57.4214	350
163	13.57	49.6474	350
168	12.36	47.7039	350
178	12.77	45.4071	350
187	13.42	39.3999	350
9	16.24	28.1478	375
9	15.76	28.1478	375
9	14.52	28.7761	375
9	14.35	28.6505	375
13	15.95	35.1848	375
13	15	35.3105	375
25	14.65	38.9546	375
35	14.68	35.1848	375
43	14.31	32.169	375
55	15.83	21.4879	375
55	15.38	21.4879	375
65	14.19	24.755	375
65	9.61	22.7445	375
77	12.5	16.0845	375
77	11.72	16.0845	375
85	13.59	23.8754	375
97	13.64	22.1162	375
107	14.04	23.2471	375
107	13.35	23.3728	375
115	14.44	21.8648	375
125	13.73	15.7075	375
135	13.98	21.8648	375
145	14.88	26.7656	375
155	14.08	23.6241	375
165	15.22	23.1214	375
185	15.98	31.1637	375
195	14.5	19.603	375
63	0.35	0.2874	0
82	0.37	0.41697	0
83	0.21	0.23322	0
143	0.42	0.49314	0
